psi_deg,delta_DM,lo,hi,yhat
129,-2.0961085714286583,-236.918050583333,212.14783341666666,-91.18772249722902
130,-2.0961085714286583,-211.71023308333355,208.91629358333336,-90.27144758004174
131,-2.0961085714286583,-197.40628350000011,209.32821158333323,-89.30666084350928
132,-2.0961085714286583,-194.38373549999994,201.8199929999999,-88.29365617101764
133,-2.0961085714286583,-214.21770733333312,184.5254472499997,-87.23274213360334
134,-15.913961009817285,-214.16534177419365,225.92130274193582,-86.12424189595937
135,-6.355021691176489,-218.14038656250014,173.98306421874994,-84.96849311799652
136,-6.355021691176489,-208.44317757812485,207.92634249999998,-83.76584785198843
137,-0.17965971479497966,-190.88020816176464,197.5118997794116,-82.51667243533349
138,79.95739736263727,-86.59973635714324,298.5986819285714,-81.22134737896464
139,62.062436805555535,-146.70052027777734,269.50112458333274,-79.88026725144208
140,62.062436805555535,-123.66733111111104,245.82155548611073,-78.49384055876409
141,64.35229077649069,-141.40452527027028,255.63800148648653,-77.06248961993181
142,48.74515500848884,-137.81736585526306,243.86050296052585,-75.58665043830705
143,37.91731424968452,-135.81324237179447,241.05471775641027,-74.06677256880126
144,79.78951083333345,-104.09391131249987,279.87044768749996,-72.50331898093692
145,79.78951083333345,-129.4905234374999,295.3502697499997,-70.89676591782238
146,79.78951083333345,-127.46677387500006,271.64665474999975,-69.24760275108373
147,89.49532509301343,-77.45632042682907,263.2553841463412,-67.55633183179735
148,85.17638604651142,-101.67719453488404,272.72500470930214,-65.82346833746892
149,70.19949577922034,-102.88527147727277,235.87000482954545,-64.04954011510553
150,70.19949577922034,-102.90018000000015,256.7616267613633,-62.235087520428024
151,119.56726989898993,-45.89788438888878,280.23305633333354,-60.38066325327385
152,115.31186824568431,-68.59653898936203,305.4511387234046,-58.48683218923888
153,115.31186824568431,-35.22588122340408,288.5582410106378,-56.554171207611304
154,115.31186824568431,-49.21062239361731,295.03254313829746,-54.5832690156481
155,115.31186824568431,-31.067969255319124,284.63876797872325,-52.57472596924961
156,100.03166634615354,-63.63587442708314,293.8086684374999,-50.52915389008491
157,100.03166634615354,-63.371823489583406,277.7345593229167,-48.447175879225185
158,104.06340399999999,-59.26816574999995,265.3081197499998,-46.32942612734118
159,129.4988705128203,-22.252667708333338,293.467358333333,-44.17654972152236
160,126.52547307692316,-26.1218572916666,273.19885609374984,-41.98920244877739
161,123.07901091930944,-51.45006664893561,303.61635202127627,-39.76805059627476
162,123.07901091930944,-46.3206573404253,280.311668617021,-37.51377074838565
163,116.77651030595803,-46.678573804347366,295.79757999999975,-35.22704958058928
164,106.15579642857142,-66.03186352272755,270.7491420454545,-32.90858365030549
165,97.07641000420358,-83.610083846154,285.70633166666624,-30.559079184716026
166,87.78858862478774,-98.76385907894739,270.8252678947367,-28.179251865641206
167,97.2633330811268,-73.32238480769244,283.9455114102561,-25.769826611536487
168,82.67415738539898,-98.53941927631571,274.2356969078948,-23.33153735667473
169,78.07048914628899,-87.85784885135135,260.39971364864874,-20.865126827583367
170,86.83310899830235,-87.64008335526339,267.20612039473707,-18.371346316802047
171,113.1068812526812,-64.6702946621624,316.0047871621622,-15.850955454032317
172,113.1068812526812,-83.88909648648631,312.875684256757,-13.304721974746386
173,97.21899982638888,-67.90863812499985,283.4494170833331,-10.733421486328126
174,94.07367956043936,-105.57223121428603,287.72252985714306,-8.13783723181497
175,94.07367956043936,-95.77272171428555,287.6878494285714,-5.518759851314755
176,113.33656702317285,-79.456671470588,283.33889139705866,-2.876987141169323
177,102.62065793226407,-97.8317569852941,289.74590044117633,-0.2133238109374389
178,102.62065793226407,-82.20799705882324,311.7547391911768,2.471418761726852
179,114.46290153846189,-76.36036621428582,316.43169414285705,5.1764227782284
180,114.46290153846189,-85.681169642857,296.06096099999974,7.900864268139671
